user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username
EMP12741,OMKAAR.CHANA52,Omkaar Chana,supply_chain,Administrator,branch_office,LPT-12741,,active,1736578363,not available,manager780
EMP11307,ethan.narasimhan97,Ethan Narasimhan,legal,Manager,head_office,VDR-11307,dev42831,active,18/05/2026 23:12,,manager881
EMP11601,ethan.choudhry47,Ethan Choudhry,marketing,Director,,WS-11601,dev40763,active,14/01/2023 09:22,,manager809
EMP12621,vedant_panchal60,Vedant Panchal,support,Analyst,head_office,LPT-12621,DEV-95371,active,1656531399,NA,manager886
EMP12029,  gayathri.mohanty65  ,Gayathri Mohanty,research_development,Executive,work_from_home,LPT-12029,dev 51958,active,2021/09/01,,manager867
EMP11950,GARIMA.CHAUDHARY44,Garima Chaudhary,call_center,Executive,,LPT-11950,dev13049,active,2023-12-30T17:13:00,NA,  manager521  
EMP12718,  vrishti.dewan18  ,Vrishti Dewan,compliance,Officer,warehouse,LPT-12718,DEV-46814,active,2021-06-21 08:34:45,,manager544
EMP10184,,Varsha Mall,information_technology,Director,remote,WS-10184,dev 12128,active,28/07/2020 21:36,NA,MANAGER850
EMP12400,peter.sama77,Peter Sama,information_technology,Specialist,work_from_home,VDR-12400,,active,06-13-2026 07:10:36 PM,NA,manager829
EMP10194,ayush.dua87,Ayush Dua,research_development,Analyst,branch_office,LPT-10194,DEV-40932,open,2023-02-12 03:25:50,not available,manager680
EMP12798,abhimanyu.trivedi4,Abhimanyu Trivedi,sales_team,Specialist,data_center,WS-12798,DEV31013,active,2026-04-13 04:15:33,NA,manager344
EMP11195,christopher.toor37,Christopher Toor,legal,Director,work_from_home,VDR-11195,DEV99205,active,02-13-2023 09:32:23 AM,,manager739
EMP11406,urishilla.bhatt88,Urishilla Bhatt,sales,Specialist,regional_office,WS-11406,DEV78076,active,2024-01-06 19:04:32,not available,manager438
